,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
974,WILLOW13,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NlsKYU,75,274770.0
975,WILLOW14,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NlsKs2,75,591620.0
976,WILLOW15,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NlsKsK,75,2080.0
977,WILLOW16,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,25.0,22.5,G5vGZ94NlsKso,75,8018.0
978,WILLOW17,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,24.5,24.5,G5vGZ94NlsKwe,75,212461.0
979,WILLOW18,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,0,12,24.5,24.5,G5vGZ94NlsKwi,75,5731.0
980,WILLOW19,WILLOW,South Yarra,Royal Botanic Gardens Melbourne,The Wind in the Willows,Children's Theatre,1,12,24.5,24.5,G5vGZ94NlsKwD,75,5529.0
981,Arcane0,Arcane,Toronto,Arcane,Arcane New Year's Eve,???,1,12,32.49,32.49,rZ7HnEZ1A3jepA,74,3308.0
982,Arcane1,Arcane,Portland,Dante's,"HATE OFFERING with Vilegloom, Dragged Out, Eyes of Arcane",Metal,0,12,10.0,10.0,rZ7HnEZ1A3jVOg,26,29677.0
983,Lorde1,Lorde,Eastbourne,Days Bay,Lorde - The Solar Power Tour,Rock,0,2,102.2,102.2,G5e8Zpck7VZwM,76,833319.0
984,Lorde2,Lorde,Eastbourne,Days Bay,Lorde - The Solar Power Tour,Rock,0,2,102.2,102.2,G5e8ZpUExcSv-,76,682545.0
985,Lorde3,Lorde,Nelson,Neudorf Vineyards,Lorde - The Solar Power Tour,Rock,0,2,109.9,109.9,G5e8ZpckZ88Yx,76,1506.0
986,Lorde6,Lorde,Western Springs,The Outer Fields at Western Springs,Lorde - The Solar Power Tour,Rock,1,3,109.9,109.9,G5e8ZpcAXs8Yk,76,270934.0
987,Lorde7,Lorde,Brisbane,Riverstage,Lorde - The Solar Power Tour,Rock,0,3,107.91,107.91,G5vGZpcADqYzE,76,5529.0
988,Lorde8,Lorde,Brisbane,Riverstage,Lorde - The Solar Power Tour *Merged into the 8th of March,Rock,0,3,107.91,107.91,G5vGZpcLjtSMd,76,5605.0
989,Joel Corry0,Joel Corry,Manchester,O2 Victoria Warehouse Manchester,Joel Corry,Dance/Electronic,0,3,29.65,29.65,G5vHZ9pCnSosv,75,3308.0
990,Joel Corry2,Joel Corry,Belfast,The Telegraph Building,Joel Corry,Dance/Electronic,0,3,30.25,30.25,G5dOZ94HBROyN,75,684451.0
991,Joel Corry3,Joel Corry,Glasgow,SWG3,Joel Corry,Dance/Electronic,1,3,27.5,23.5,G5dbZ9pkCM-w_,75,1394928.0
992,Joel Corry4,Joel Corry,Leeds,O2 Academy Leeds,Joel Corry,Dance/Electronic,0,3,22.0,22.0,G5vHZ9pk2xsf6,75,677116.0
993,Joel Corry5,Joel Corry,London,O2 Academy Brixton,Joel Corry,Dance/Electronic,1,4,35.15,23.9,G5vHZ9p1VL0-_,75,51869.0
994,Joel Corry6,Joel Corry,Birmingham,"Forum, Birmingham",Joel Corry UK Tour,Dance/Electronic,1,3,30.0,20.0,G5vHZ9b6bsFrg,75,304391.0
995,Paramore0,Paramore,Washington,Capital One Arena,Paramore,Rock,0,6,154.5,40.5,G5vfZ9pCp1sUg,78,1031.0
996,Paramore1,Paramore,Inglewood,Kia Forum,Paramore,Rock,0,7,166.5,40.5,vvG10Z9pGDzt2e,78,850106.0
997,Paramore2,Paramore,New York,Madison Square Garden,Paramore,Rock,0,5,166.0,40.5,G5diZ9p5Qne4q,78,829718.0
998,Paramore3,Paramore,Austin,Moody Center ATX,Paramore,Rock,1,7,171.25,40.5,G5dIZ9pCfOeCt,78,8855000.0
999,Paramore4,Paramore,San Francisco,Chase Center,Paramore,Rock,1,7,156.0,40.5,G5vYZ9pCpmeff,78,2189878.0
1000,Paramore5,Paramore,Fort Worth,Dickies Arena,Paramore,Rock,1,7,155.5,40.5,vvG1YZ9p1B-eIp,78,20254.0
